x,y,radar,true
1.5,30.5,1.00468313765,0.0
1.5,31.5,1.00468313765,0.0
1.5,32.5,1.00468313765,0.0
1.5,33.5,1.00468313765,0.0
1.5,34.5,1.00468313765,0.0
1.5,35.5,1.06062537427,0.0
1.5,36.5,1.06062537427,0.0
1.5,37.5,1.06062537427,0.0
1.5,38.5,1.06062537427,0.0
1.5,39.5,1.06062537427,0.0
1.5,40.5,1.1243601485,0.0
1.5,41.5,1.1243601485,0.0
1.5,42.5,1.1243601485,0.0
1.5,43.5,1.1243601485,0.0
1.5,44.5,1.1243601485,0.0
1.5,45.5,1.00500268971,0.0
1.5,46.5,1.00500268971,0.0
1.5,47.5,1.00500268971,0.0
1.5,48.5,1.00500268971,0.0
1.5,49.5,1.00500268971,0.0
1.5,50.5,1.24484101885,0.0
1.5,51.5,1.24484101885,0.0
1.5,52.5,1.24484101885,0.0
1.5,53.5,1.24484101885,0.0
1.5,54.5,1.24484101885,0.0
1.5,55.5,1.18512008448,0.0
1.5,56.5,1.18512008448,0.0
1.5,57.5,1.18512008448,0.0
1.5,58.5,1.18512008448,0.0
1.5,59.5,1.18512008448,0.0
1.5,60.5,1.05063462293,0.0
1.5,61.5,1.05063462293,0.0
1.5,62.5,1.05063462293,0.0
1.5,63.5,1.05063462293,0.0
1.5,64.5,1.05063462293,0.0
1.5,65.5,1.22764185999,0.0
1.5,66.5,1.22764185999,0.0
1.5,67.5,1.22764185999,0.0
1.5,68.5,1.22764185999,0.0
1.5,69.5,1.22764185999,0.0
1.5,70.5,1.03189111993,0.0
1.5,71.5,1.03189111993,0.0
1.5,72.5,1.03189111993,0.0
1.5,73.5,1.03189111993,0.0
1.5,74.5,1.03189111993,0.0
1.5,75.5,1.03112314131,0.0
1.5,76.5,1.03112314131,0.0
1.5,77.5,1.03112314131,0.0
1.5,78.5,1.03112314131,0.0
1.5,79.5,1.03112314131,0.0
1.5,80.5,1.02909697922,0.0
1.5,81.5,1.02909697922,0.0
1.5,82.5,1.02909697922,0.0
1.5,83.5,1.02909697922,0.0
1.5,84.5,1.02909697922,0.0
1.5,85.5,1.06857179086,0.0
1.5,86.5,1.06857179086,0.0
1.5,87.5,1.06857179086,0.0
1.5,88.5,1.06857179086,0.0
1.5,89.5,1.06857179086,0.0
1.5,90.5,1.01430105913,0.0
1.5,91.5,1.01430105913,0.0
1.5,92.5,1.01430105913,0.0
1.5,93.5,1.01430105913,0.0
